utilization.gpu [%], memory.used [MiB]
6 %, 1595 MiB
6 %, 1595 MiB
7 %, 1591 MiB
8 %, 1591 MiB
3 %, 1595 MiB
8 %, 1591 MiB
8 %, 1591 MiB
3 %, 1591 MiB
8 %, 1595 MiB
8 %, 1591 MiB
8 %, 1591 MiB
7 %, 1591 MiB
7 %, 1595 MiB
8 %, 1591 MiB
8 %, 1591 MiB
8 %, 1591 MiB
7 %, 1595 MiB
8 %, 1575 MiB
8 %, 1529 MiB
7 %, 1529 MiB
8 %, 1534 MiB
8 %, 1530 MiB
8 %, 1530 MiB
7 %, 1529 MiB
8 %, 1533 MiB
8 %, 1529 MiB
8 %, 1529 MiB
8 %, 1529 MiB
5 %, 1529 MiB
8 %, 1533 MiB
8 %, 1529 MiB
8 %, 1529 MiB
8 %, 1529 MiB
8 %, 1533 MiB
8 %, 1528 MiB
8 %, 1528 MiB
8 %, 1528 MiB
8 %, 1528 MiB
4 %, 1528 MiB
7 %, 1532 MiB
8 %, 1528 MiB
8 %, 1528 MiB
8 %, 1528 MiB
2 %, 1533 MiB
6 %, 1529 MiB
6 %, 1529 MiB
7 %, 1528 MiB
5 %, 1533 MiB
5 %, 1528 MiB
5 %, 1532 MiB
7 %, 1528 MiB
7 %, 1528 MiB
8 %, 1528 MiB
6 %, 1528 MiB
6 %, 1532 MiB
7 %, 1528 MiB
8 %, 1528 MiB
6 %, 1528 MiB
7 %, 1528 MiB
7 %, 1532 MiB
8 %, 1528 MiB
8 %, 1528 MiB
7 %, 1528 MiB
8 %, 1527 MiB
7 %, 1527 MiB
8 %, 1532 MiB
8 %, 1528 MiB
8 %, 1528 MiB
8 %, 1528 MiB
8 %, 1528 MiB
7 %, 1528 MiB
7 %, 1532 MiB
8 %, 1528 MiB
7 %, 1528 MiB
7 %, 1528 MiB
7 %, 1527 MiB
7 %, 1527 MiB
8 %, 1531 MiB
8 %, 1527 MiB
4 %, 1527 MiB
8 %, 1532 MiB
7 %, 1528 MiB
9 %, 1532 MiB
7 %, 1528 MiB
7 %, 1528 MiB
7 %, 1532 MiB
7 %, 1528 MiB
5 %, 1528 MiB
5 %, 1532 MiB
5 %, 1528 MiB
2 %, 1528 MiB
5 %, 1532 MiB
5 %, 1528 MiB
6 %, 1528 MiB
5 %, 1532 MiB
5 %, 1528 MiB
2 %, 1528 MiB
5 %, 1532 MiB
5 %, 1528 MiB
4 %, 1528 MiB
5 %, 1528 MiB
5 %, 1528 MiB
5 %, 1528 MiB
5 %, 1528 MiB
5 %, 1528 MiB
5 %, 1528 MiB
5 %, 1528 MiB
5 %, 1528 MiB
23 %, 1557 MiB
22 %, 1562 MiB
20 %, 1596 MiB
9 %, 1588 MiB
10 %, 1584 MiB
8 %, 1573 MiB
8 %, 1573 MiB
8 %, 1546 MiB
8 %, 1533 MiB
7 %, 1533 MiB
9 %, 1524 MiB
8 %, 1524 MiB
14 %, 1535 MiB
8 %, 1534 MiB
8 %, 1529 MiB
8 %, 1534 MiB
8 %, 1534 MiB
7 %, 1530 MiB
8 %, 1530 MiB
9 %, 1530 MiB
8 %, 1540 MiB
7 %, 1540 MiB
14 %, 1548 MiB
43 %, 1601 MiB
3 %, 1587 MiB
1 %, 1584 MiB
1 %, 1578 MiB
9 %, 1564 MiB
6 %, 1563 MiB
8 %, 1559 MiB
7 %, 1551 MiB
5 %, 1550 MiB
5 %, 1550 MiB
5 %, 1537 MiB
5 %, 1542 MiB
5 %, 1542 MiB
5 %, 1537 MiB
5 %, 1537 MiB
2 %, 1542 MiB
5 %, 1543 MiB
5 %, 1539 MiB
6 %, 1543 MiB
5 %, 1538 MiB
5 %, 1538 MiB
5 %, 1538 MiB
5 %, 1538 MiB
5 %, 1538 MiB
5 %, 1537 MiB
5 %, 1542 MiB
5 %, 1538 MiB
6 %, 1538 MiB
4 %, 1542 MiB
7 %, 1538 MiB
6 %, 1543 MiB
7 %, 1538 MiB
6 %, 1538 MiB
6 %, 1538 MiB
7 %, 1538 MiB
4 %, 1542 MiB
6 %, 1538 MiB
7 %, 1538 MiB
7 %, 1538 MiB
7 %, 1538 MiB
7 %, 1538 MiB
7 %, 1538 MiB
7 %, 1542 MiB
8 %, 1537 MiB
7 %, 1537 MiB
7 %, 1537 MiB
7 %, 1537 MiB
7 %, 1537 MiB
7 %, 1537 MiB
7 %, 1537 MiB
7 %, 1537 MiB
7 %, 1537 MiB
7 %, 1537 MiB
7 %, 1537 MiB
7 %, 1537 MiB
7 %, 1537 MiB
7 %, 1537 MiB
7 %, 1537 MiB
7 %, 1537 MiB
8 %, 1537 MiB
7 %, 1537 MiB
7 %, 1542 MiB
9 %, 1541 MiB
7 %, 1537 MiB
7 %, 1537 MiB
8 %, 1542 MiB
8 %, 1538 MiB
7 %, 1538 MiB
7 %, 1538 MiB
7 %, 1542 MiB
