timestamp,latency_ms_p95,tier
1786627373.623,NaN,balanced
1786627378.623,NaN,balanced
1786627383.623,NaN,balanced
1786627388.623,NaN,balanced
1786627393.623,NaN,balanced
1786627398.623,NaN,balanced
1786627403.623,NaN,balanced
1786627408.623,NaN,balanced
1786627413.623,NaN,balanced
1786627418.623,NaN,balanced
1786627423.623,NaN,balanced
1786627428.623,NaN,balanced
1786627433.623,NaN,balanced
1786627438.623,NaN,balanced
1786627443.623,NaN,balanced
1786627448.623,NaN,balanced
1786627453.623,NaN,balanced
1786627458.623,NaN,balanced
1786627463.623,NaN,balanced
1786627468.623,NaN,balanced
1786627473.623,NaN,balanced
1786627478.623,NaN,balanced
1786627483.623,NaN,balanced
1786627488.623,NaN,balanced
1786627493.623,NaN,balanced
1786627498.623,NaN,balanced
1786627503.623,NaN,balanced
1786627508.623,NaN,balanced
1786627513.623,NaN,balanced
1786627518.623,22.874999999999996,balanced
1786627523.623,22.20454545454545,balanced
1786627528.623,24.07142857142857,balanced
1786627533.623,23.655172413793103,balanced
1786627538.623,24.208333333333332,balanced
1786627543.623,24.298913043478258,balanced
1786627548.623,24.188775510204078,balanced
1786627553.623,24.077868852459012,balanced
1786627558.623,24.098101265822784,balanced
1786627563.623,23.9375,balanced
1786627568.623,24.275423728813553,balanced
1786627573.623,24.221804511278187,balanced
1786627578.623,24.316326530612244,balanced
1786627583.623,24.234265734265733,balanced
1786627588.623,24.56849315068493,balanced
1786627593.623,24.441176470588232,balanced
1786627598.623,24.496835443037977,balanced
1786627603.623,24.468023255813954,balanced
1786627608.623,24.724999999999998,balanced
1786627613.623,24.803278688524586,balanced
1786627618.623,24.808238636363633,balanced
1786627623.623,24.460937500000004,balanced
1786627628.623,24.384999999999998,balanced
1786627633.623,24.18133802816901,balanced
1786627638.623,23.909090909090914,balanced
1786627643.623,23.408928571428568,balanced
1786627648.623,23.27099236641222,balanced
1786627653.623,22.91386554621849,balanced
1786627658.623,22.473684210526308,balanced
1786627663.623,21.495049504950487,balanced
1786627668.623,20.790816326530607,balanced
1786627673.623,20.75735294117647,balanced
1786627678.623,21.094827586206897,balanced
1786627683.623,20.794392523364486,balanced
1786627688.623,20.637755102040813,balanced
1786627693.623,21.106521739130436,balanced
1786627698.623,21.013157894736835,balanced
1786627703.623,20.745575221238937,balanced
1786627708.623,20.8076923076923,balanced
1786627713.623,21.12977099236641,balanced
1786627718.623,21.27840909090908,balanced
1786627723.623,21.217105263157897,balanced
1786627728.623,21.174999999999997,balanced
1786627733.623,20.921875,balanced
1786627738.623,21.25,balanced
1786627743.623,21.368421052631568,balanced
1786627748.623,20.80288461538461,balanced
1786627753.623,21.183333333333337,balanced
1786627758.623,21.835365853658537,balanced
1786627763.623,22.044117647058826,balanced
1786627768.623,21.90625,balanced
1786627773.623,NaN,balanced
1786627778.623,NaN,balanced
1786627783.623,NaN,balanced
1786627788.623,NaN,balanced
1786627793.623,NaN,balanced
1786627798.623,NaN,balanced
1786627803.623,NaN,balanced
1786627808.623,NaN,balanced
1786627813.623,NaN,balanced
1786627818.623,NaN,balanced
1786627823.623,NaN,balanced
1786627828.623,NaN,balanced
1786627833.623,NaN,balanced
1786627838.623,NaN,balanced
1786627843.623,NaN,balanced
1786627848.623,NaN,balanced
1786627853.623,NaN,balanced
1786627858.623,NaN,balanced
1786627863.623,NaN,balanced
1786627868.623,NaN,balanced
1786627873.623,NaN,balanced
1786627878.623,NaN,balanced
1786627883.623,NaN,balanced
1786627888.623,NaN,balanced
1786627893.623,NaN,balanced
1786627898.623,NaN,balanced
1786627903.623,NaN,balanced
1786627908.623,NaN,balanced
1786627913.623,NaN,balanced
1786627918.623,NaN,balanced
1786627923.623,NaN,balanced
1786627928.623,NaN,balanced
1786627933.623,NaN,balanced
1786627938.623,NaN,balanced
1786627943.623,NaN,balanced
1786627948.623,NaN,balanced
1786627953.623,NaN,balanced
1786627958.623,NaN,balanced
1786627963.623,NaN,balanced
1786627968.623,NaN,balanced
1786627973.623,NaN,balanced
1786627978.623,NaN,balanced
1786627983.623,NaN,balanced
1786627988.623,NaN,balanced
1786627993.623,NaN,balanced
1786627998.623,NaN,balanced
1786628003.623,NaN,balanced
1786628008.623,NaN,balanced
1786628013.623,NaN,balanced
